id,name,description,equation,category,icon,variables_json,num_variables
"double-slit","Young's Double Slit","y=λL/d. Solves for fringe spacing, wavelength, distance to screen, or slit separation.","y = λL/d","Thermodynamics & Waves","Thermometer","[{""id"":""y"",""label"":""Fringe Spacing"",""unit"":""m""},{""id"":""lambda"",""label"":""Wavelength (λ)"",""unit"":""nm""},{""id"":""L"",""label"":""Screen Distance"",""unit"":""m""},{""id"":""d"",""label"":""Slit Separation"",""unit"":""m""}]",4
"density","Density / Mass / Volume","ρ=m/V. Solves for density, mass, or volume.","ρ = m/V","General Chemistry","Calculator","[{""id"":""rho"",""label"":""Density (ρ)"",""unit"":""kg/m³""},{""id"":""m"",""label"":""Mass"",""unit"":""kg""},{""id"":""V"",""label"":""Volume"",""unit"":""m³""}]",3
"moles-calc","Moles & Molar Mass","n=m/M. Solves for moles, mass, or molar mass. Also computes particle count.","n = m/M, N = n × Nₐ","General Chemistry","Calculator","[{""id"":""n"",""label"":""Moles (n)"",""unit"":""mol""},{""id"":""m"",""label"":""Mass (m)"",""unit"":""g""},{""id"":""M"",""label"":""Molar Mass (M)"",""unit"":""g/mol""}]",3
"molarity","Molarity (M)","M=n/V(solution). Solves for molarity, moles, or volume.","M = n / V","General Chemistry","Calculator","[{""id"":""M"",""label"":""Molarity"",""unit"":""mol/L""},{""id"":""n"",""label"":""Moles of Solute"",""unit"":""mol""},{""id"":""V"",""label"":""Volume of Solution"",""unit"":""L""}]",3
"percent-yield","Percent Yield & Error","Computes percent yield and percent error for experiments.","% yield = (actual/theoretical)×100","General Chemistry","Calculator","[{""id"":""actual"",""label"":""Actual/Experimental Value"",""unit"":""""},{""id"":""theoretical"",""label"":""Theoretical/Accepted Value"",""unit"":""""}]",2
"boyle-law","Boyle's Law","P₁V₁=P₂V₂. Solves for any pressure or volume in gas compression/expansion.","P₁V₁ = P₂V₂","General Chemistry","Calculator","[{""id"":""P1"",""label"":""Initial Pressure (P₁)"",""unit"":""Pa""},{""id"":""V1"",""label"":""Initial Volume (V₁)"",""unit"":""m³""},{""id"":""P2"",""label"":""Final Pressure (P₂)"",""unit"":""Pa""},{""id"":""V2"",""label"":""Final Volume (V₂)"",""unit"":""m³""}]",4
"charles-law","Charles's Law","V₁/T₁=V₂/T₂. Solves for any volume or temperature. Temperature must be in Kelvin.","V₁/T₁ = V₂/T₂","General Chemistry","Calculator","[{""id"":""V1"",""label"":""Initial Volume (V₁)"",""unit"":""m³""},{""id"":""T1"",""label"":""Initial Temp (T₁)"",""unit"":""K""},{""id"":""V2"",""label"":""Final Volume (V₂)"",""unit"":""m³""},{""id"":""T2"",""label"":""Final Temp (T₂)"",""unit"":""K""}]",4
"combined-gas","Combined Gas Law","P₁V₁/T₁=P₂V₂/T₂. Solves for any pressure, volume, or temperature.","P₁V₁/T₁ = P₂V₂/T₂","General Chemistry","Calculator","[{""id"":""P1"",""label"":""P₁"",""unit"":""Pa""},{""id"":""V1"",""label"":""V₁"",""unit"":""m³""},{""id"":""T1"",""label"":""T₁"",""unit"":""K""},{""id"":""P2"",""label"":""P₂"",""unit"":""Pa""},{""id"":""V2"",""label"":""V₂"",""unit"":""m³""},{""id"":""T2"",""label"":""T₂"",""unit"":""K""}]",6
"gibbs-free","Gibbs Free Energy","G=H−TS. Solves for Gibbs energy, enthalpy, entropy, or temperature.","ΔG = ΔH − TΔS","General Chemistry","Calculator","[{""id"":""dG"",""label"":""Gibbs Free Energy (ΔG)"",""unit"":""kJ""},{""id"":""dH"",""label"":""Enthalpy (ΔH)"",""unit"":""kJ""},{""id"":""T"",""label"":""Temperature"",""unit"":""K""},{""id"":""dS"",""label"":""Entropy (ΔS)"",""unit"":""kJ/K""}]",4
"arrhenius","Arrhenius Equation","k=Ae^(−Ea/RT). Solves for rate constant, activation energy, or temperature.","k = A × e^(−Ea/RT)","General Chemistry","Calculator","[{""id"":""k"",""label"":""Rate Constant (k)"",""unit"":""""},{""id"":""A"",""label"":""Pre-exponential Factor (A)"",""unit"":""""},{""id"":""Ea"",""label"":""Activation Energy (Ea)"",""unit"":""J/mol""},{""id"":""T"",""label"":""Temperature"",""unit"":""K""}]",4
"half-life-first","Half-Life (First Order)","t½=ln(2)/k. Solves for half-life or rate constant of first-order reactions.","t½ = ln(2)/k","General Chemistry","Calculator","[{""id"":""thalf"",""label"":""Half-life (t½)"",""unit"":""s""},{""id"":""k"",""label"":""Rate Constant (k)"",""unit"":""1/s""}]",2
"equilibrium-kc","Equilibrium Constant (Kc)","Computes Kc from concentrations. aA+bB ⇌ cC+dD.","Kc = [C]^c[D]^d / [A]^a[B]^b","General Chemistry","Calculator","[{""id"":""Kc"",""label"":""Equilibrium Constant (Kc)"",""unit"":""""},{""id"":""products"",""label"":""[Products]^coeffs (e.g. 0.5,0.3)"",""unit"":""""},{""id"":""reactants"",""label"":""[Reactants]^coeffs (e.g. 0.1,0.2)"",""unit"":""""}]",3
"graham-law","Graham's Law of Effusion","rate₁/rate₂=√(M₂/M₁). Compares effusion rates of two gases.","rate₁/rate₂ = √(M₂/M₁)","General Chemistry","Calculator","[{""id"":""rate1"",""label"":""Rate of Gas 1"",""unit"":""""},{""id"":""rate2"",""label"":""Rate of Gas 2"",""unit"":""""},{""id"":""M1"",""label"":""Molar Mass Gas 1 (g/mol)"",""unit"":""g/mol""},{""id"":""M2"",""label"":""Molar Mass Gas 2 (g/mol)"",""unit"":""g/mol""}]",4
"hardy-weinberg","Hardy-Weinberg Equilibrium","p+q=1, p²+2pq+q²=1. Solves for allele and genotype frequencies.","p² + 2pq + q² = 1","Biology & Biochemistry","Calculator","[{""id"":""p"",""label"":""Dominant Allele Freq (p)"",""unit"":""""},{""id"":""q"",""label"":""Recessive Allele Freq (q)"",""unit"":""""}]",2
"population-growth","Population Growth","N=N₀e^(rt). Exponential population growth model.","N = N₀ × e^(rt)","Biology & Biochemistry","Calculator","[{""id"":""N"",""label"":""Future Population (N)"",""unit"":""""},{""id"":""N0"",""label"":""Initial Population (N₀)"",""unit"":""""},{""id"":""r"",""label"":""Growth Rate (r)"",""unit"":""""},{""id"":""t"",""label"":""Time"",""unit"":""""}]",4
"bmi","Body Mass Index (BMI)","BMI=weight/height². Computes BMI and classifies weight status.","BMI = weight(kg) / height(m)²","Biology & Biochemistry","Calculator","[{""id"":""weight"",""label"":""Weight"",""unit"":""kg""},{""id"":""height"",""label"":""Height"",""unit"":""m""}]",2
"cardiac-output","Cardiac Output","CO=HR×SV. Solves for cardiac output, heart rate, or stroke volume.","CO = HR × SV","Biology & Biochemistry","Calculator","[{""id"":""CO"",""label"":""Cardiac Output"",""unit"":""L/min""},{""id"":""HR"",""label"":""Heart Rate"",""unit"":""bpm""},{""id"":""SV"",""label"":""Stroke Volume"",""unit"":""mL""}]",3
"map-calc","Mean Arterial Pressure (MAP)","MAP=DBP+⅓(SBP−DBP). Computes MAP from blood pressure readings.","MAP = DBP + ⅓(SBP − DBP)","Biology & Biochemistry","Calculator","[{""id"":""SBP"",""label"":""Systolic BP"",""unit"":""mmHg""},{""id"":""DBP"",""label"":""Diastolic BP"",""unit"":""mmHg""}]",2
"fick-diffusion","Fick's Law of Diffusion","J=−D×A×(dC/dx). Solves for diffusion rate, area, concentration gradient.","J = −D × A × ΔC/Δx","Biology & Biochemistry","Calculator","[{""id"":""J"",""label"":""Diffusion Rate (J)"",""unit"":""mol/s""},{""id"":""D"",""label"":""Diffusion Coefficient (D)"",""unit"":""m²/s""},{""id"":""A"",""label"":""Area (A)"",""unit"":""m²""},{""id"":""dCdx"",""label"":""Concentration Gradient (ΔC/Δx)"",""unit"":""mol/m⁴""}]",4
"michaelis-menten","Michaelis-Menten Kinetics","v=Vmax[S]/(Km+[S]). Solves for velocity, Vmax, Km, or substrate concentration.","v = Vmax × [S] / (Km + [S])","Biology & Biochemistry","Calculator","[{""id"":""v"",""label"":""Reaction Velocity (v)"",""unit"":""""},{""id"":""Vmax"",""label"":""Maximum Velocity (Vmax)"",""unit"":""""},{""id"":""S"",""label"":""Substrate Conc [S]"",""unit"":""""},{""id"":""Km"",""label"":""Michaelis Constant (Km)"",""unit"":""""}]",4
"bacterial-growth","Bacterial Doubling Time","N=N₀×2^(t/td). Solves for population, initial, time, or doubling time.","N = N₀ × 2^(t/td)","Biology & Biochemistry","Calculator","[{""id"":""N"",""label"":""Final Population (N)"",""unit"":""""},{""id"":""N0"",""label"":""Initial Population (N₀)"",""unit"":""""},{""id"":""t"",""label"":""Time"",""unit"":""min""},{""id"":""td"",""label"":""Doubling Time (td)"",""unit"":""min""}]",4
"nernst-membrane","Nernst Equation (Membrane)","E=(RT/zF)×ln([ion]out/[ion]in). Equilibrium potential for an ion across membrane.","E = (RT/zF) × ln([ion]out/[ion]in)","Biology & Biochemistry","Calculator","[{""id"":""E"",""label"":""Equilibrium Potential"",""unit"":""mV""},{""id"":""z"",""label"":""Ion Charge (z)"",""unit"":""""},{""id"":""out"",""label"":""[Ion] outside"",""unit"":""mM""},{""id"":""inn"",""label"":""[Ion] inside"",""unit"":""mM""},{""id"":""T"",""label"":""Temperature"",""unit"":""°C""}]",5
"stroke-volume","Stroke Volume & Ejection Fraction","SV=EDV−ESV, EF=SV/EDV×100. Computes cardiac stroke volume and ejection fraction.","SV = EDV − ESV,  EF = SV/EDV × 100","Biology & Biochemistry","Calculator","[{""id"":""EDV"",""label"":""End Diastolic Volume"",""unit"":""mL""},{""id"":""ESV"",""label"":""End Systolic Volume"",""unit"":""mL""}]",2
"electric-field","Electric Field (Point Charge)","E=kQ/r². Solves for electric field, charge, or distance.","E = kQ/r²","Electric Fields & Potential","Zap","[{""id"":""E"",""label"":""Electric Field"",""unit"":""N/C""},{""id"":""Q"",""label"":""Charge"",""unit"":""C""},{""id"":""r"",""label"":""Distance"",""unit"":""m""}]",3
"electric-potential","Electric Potential","V=kQ/r. Solves for electric potential, charge, or distance.","V = kQ/r","Electric Fields & Potential","Zap","[{""id"":""V"",""label"":""Electric Potential"",""unit"":""V""},{""id"":""Q"",""label"":""Charge"",""unit"":""C""},{""id"":""r"",""label"":""Distance"",""unit"":""m""}]",3
"parallel-plate-cap","Parallel Plate Capacitor","C=ε₀A/d. Solves for capacitance, plate area, or separation.","C = ε₀A/d","Electric Fields & Potential","Zap","[{""id"":""C"",""label"":""Capacitance"",""unit"":""F""},{""id"":""A"",""label"":""Plate Area"",""unit"":""m²""},{""id"":""d"",""label"":""Plate Separation"",""unit"":""m""}]",3
"resistivity","Resistance from Resistivity","R=ρL/A. Solves for resistance, resistivity, length, or cross-section area.","R = ρL/A","Electric Fields & Potential","Zap","[{""id"":""R"",""label"":""Resistance"",""unit"":""Ω""},{""id"":""rho"",""label"":""Resistivity (ρ)"",""unit"":""Ω·m""},{""id"":""L"",""label"":""Length"",""unit"":""m""},{""id"":""A"",""label"":""Cross-section Area"",""unit"":""m²""}]",4
"series-parallel-cap","Series/Parallel Capacitance","Series: 1/Ct=Σ(1/Ci), Parallel: Ct=ΣCi. Computes equivalent capacitance.","Series: 1/Ct = 1/C₁+1/C₂+... | Parallel: Ct = C₁+C₂+...","Electric Fields & Potential","Zap","[{""id"":""type"",""label"":""0=Series, 1=Parallel"",""unit"":""""},{""id"":""c1"",""label"":""C₁"",""unit"":""F""},{""id"":""c2"",""label"":""C₂"",""unit"":""F""},{""id"":""c3"",""label"":""C₃ (0 if none)"",""unit"":""F""}]",4
"motional-emf","Motional EMF","EMF=BLv. Solves for induced EMF, field, length, or velocity of moving conductor.","EMF = BLv","Electric Fields & Potential","Zap","[{""id"":""emf"",""label"":""Induced EMF"",""unit"":""V""},{""id"":""B"",""label"":""Magnetic Field"",""unit"":""T""},{""id"":""L"",""label"":""Conductor Length"",""unit"":""m""},{""id"":""v"",""label"":""Velocity"",""unit"":""m/s""}]",4
"molality","Molality","m=n/kg(solvent). Solves for molality, moles, or solvent mass.","m = n / kg(solvent)","Advanced Chemistry","Calculator","[{""id"":""m"",""label"":""Molality"",""unit"":""mol/kg""},{""id"":""n"",""label"":""Moles of Solute"",""unit"":""mol""},{""id"":""kg"",""label"":""Solvent Mass"",""unit"":""kg""}]",3
"dalton-law","Dalton's Law of Partial Pressures","P_total=P₁+P₂+P₃. Solves for total pressure or any partial pressure.","P_total = P₁ + P₂ + P₃","Advanced Chemistry","Calculator","[{""id"":""Pt"",""label"":""Total Pressure"",""unit"":""atm""},{""id"":""P1"",""label"":""Partial Pressure P₁"",""unit"":""atm""},{""id"":""P2"",""label"":""Partial Pressure P₂"",""unit"":""atm""},{""id"":""P3"",""label"":""Partial Pressure P₃"",""unit"":""atm""}]",4
"rms-speed","RMS Speed of Gas Molecules","vrms=√(3RT/M). Solves for RMS speed, temperature, or molar mass.","v_rms = √(3RT/M)","Advanced Chemistry","Calculator","[{""id"":""v"",""label"":""RMS Speed"",""unit"":""m/s""},{""id"":""T"",""label"":""Temperature"",""unit"":""K""},{""id"":""M"",""label"":""Molar Mass (kg/mol)"",""unit"":""kg/mol""}]",3
"van-der-waals","Van der Waals Equation","(P+n²a/V²)(V−nb)=nRT. Corrects ideal gas for real behavior.","(P + n²a/V²)(V − nb) = nRT","Advanced Chemistry","Calculator","[{""id"":""P"",""label"":""Pressure"",""unit"":""atm""},{""id"":""V"",""label"":""Volume"",""unit"":""L""},{""id"":""n"",""label"":""Moles"",""unit"":""mol""},{""id"":""T"",""label"":""Temperature"",""unit"":""K""},{""id"":""a"",""label"":""Van der Waals a"",""unit"":""L²·atm/mol²""},{""id"":""b"",""label"":""Van der Waals b"",""unit"":""L/mol""}]",6
"mass-percent","Mass Percent & PPM","Computes mass percent, parts per million, and mole fraction.","% = (mass_solute / mass_solution) × 100","Advanced Chemistry","Calculator","[{""id"":""ms"",""label"":""Mass of Solute"",""unit"":""g""},{""id"":""mt"",""label"":""Mass of Solution"",""unit"":""g""}]",2
"chi-square","Chi-Square Test","χ²=Σ(O−E)²/E. Computes chi-square statistic from observed and expected values.","χ² = Σ(O−E)²/E","Ecology & Environmental","Calculator","[{""id"":""observed"",""label"":""Observed (comma-sep)"",""unit"":""""},{""id"":""expected"",""label"":""Expected (comma-sep)"",""unit"":""""}]",2
"shannon-index","Shannon-Wiener Diversity Index","H'=−Σ(pi×ln(pi)). Computes species diversity from proportions.","H' = −Σ(pi × ln(pi))","Ecology & Environmental","Calculator","[{""id"":""data"",""label"":""Species counts (comma-sep)"",""unit"":""""}]",1
"rule-of-70","Rule of 70 (Doubling Time)","td=70/r. Quick estimate of doubling time from growth rate percentage.","td = 70 / r%","Ecology & Environmental","Calculator","[{""id"":""td"",""label"":""Doubling Time"",""unit"":""years""},{""id"":""r"",""label"":""Growth Rate (%)"",""unit"":""%""}]",2
"npp","Net Primary Productivity","NPP=GPP−R. Solves for net primary productivity, gross, or respiration.","NPP = GPP − R","Ecology & Environmental","Calculator","[{""id"":""NPP"",""label"":""Net Primary Productivity"",""unit"":""g/m²/yr""},{""id"":""GPP"",""label"":""Gross Primary Productivity"",""unit"":""g/m²/yr""},{""id"":""R"",""label"":""Respiration"",""unit"":""g/m²/yr""}]",3
"cell-sa-vol","Cell SA:Volume Ratio","Computes surface area to volume ratio for spherical and cuboidal cells.","SA/V ratio (sphere) = 3/r","Ecology & Environmental","Calculator","[{""id"":""r"",""label"":""Radius (sphere) or Side (cube)"",""unit"":""µm""}]",1
"q10","Q10 Temperature Coefficient","Q10=(R2/R1)^(10/(T2-T1)). Measures metabolic rate change with temperature.","Q₁₀ = (R₂/R₁)^(10/(T₂−T₁))","Ecology & Environmental","Calculator","[{""id"":""Q10"",""label"":""Q10"",""unit"":""""},{""id"":""R1"",""label"":""Rate at T₁ (R₁)"",""unit"":""""},{""id"":""R2"",""label"":""Rate at T₂ (R₂)"",""unit"":""""},{""id"":""T1"",""label"":""Temperature 1 (T₁)"",""unit"":""°C""},{""id"":""T2"",""label"":""Temperature 2 (T₂)"",""unit"":""°C""}]",5
"distance-3d","3D Distance Formula","d=√((x₂-x₁)²+(y₂-y₁)²+(z₂-z₁)²). Solves for distance or any coordinate.","d = √(Δx² + Δy² + Δz²)","More Mathematics","Calculator","[{""id"":""d"",""label"":""Distance"",""unit"":""""},{""id"":""x1"",""label"":""x₁"",""unit"":""""},{""id"":""y1"",""label"":""y₁"",""unit"":""""},{""id"":""z1"",""label"":""z₁"",""unit"":""""},{""id"":""x2"",""label"":""x₂"",""unit"":""""},{""id"":""y2"",""label"":""y₂"",""unit"":""""},{""id"":""z2"",""label"":""z₂"",""unit"":""""}]",7
"change-of-base","Change of Base (Logarithm)","log_b(x) = log_a(x)/log_a(b). Converts between log bases.","log_b(x) = ln(x)/ln(b)","More Mathematics","Calculator","[{""id"":""result"",""label"":""log_b(x) result"",""unit"":""""},{""id"":""x"",""label"":""Argument (x)"",""unit"":""""},{""id"":""b"",""label"":""Base (b)"",""unit"":""""}]",3
"slope-intercept","Slope-Intercept Form","y=mx+b. Generates equation from slope and y-intercept. Evaluates at any x.","y = mx + b","More Mathematics","Calculator","[{""id"":""m"",""label"":""Slope (m)"",""unit"":""""},{""id"":""b"",""label"":""Y-intercept (b)"",""unit"":""""},{""id"":""x"",""label"":""X value (to evaluate)"",""unit"":""""}]",3
"matrix-3x3","Matrix 3×3 Determinant","Computes determinant of a 3×3 matrix using cofactor expansion.","det = a(ei−fh) − b(di−fg) + c(dh−eg)","More Mathematics","Calculator","[{""id"":""a"",""label"":""a"",""unit"":""""},{""id"":""b"",""label"":""b"",""unit"":""""},{""id"":""c"",""label"":""c"",""unit"":""""},{""id"":""d"",""label"":""d"",""unit"":""""},{""id"":""e"",""label"":""e"",""unit"":""""},{""id"":""f"",""label"":""f"",""unit"":""""},{""id"":""g"",""label"":""g"",""unit"":""""},{""id"":""h"",""label"":""h"",""unit"":""""},{""id"":""i"",""label"":""i"",""unit"":""""}]",9
"triangle-bh","Triangle Area (Base × Height)","A=½bh. Solves for area, base, or height.","A = ½bh","Area & Volume Shapes","Calculator","[{""id"":""A"",""label"":""Area"",""unit"":""m²""},{""id"":""b"",""label"":""Base"",""unit"":""m""},{""id"":""h"",""label"":""Height"",""unit"":""m""}]",3
"trapezoid","Trapezoid Area","A=½(a+b)h. Solves for area, either base, or height.","A = ½(a+b)h","Area & Volume Shapes","Calculator","[{""id"":""A"",""label"":""Area"",""unit"":""m²""},{""id"":""a"",""label"":""Base a (top)"",""unit"":""m""},{""id"":""b"",""label"":""Base b (bottom)"",""unit"":""m""},{""id"":""h"",""label"":""Height"",""unit"":""m""}]",4
"rect-prism","Rectangular Prism (Box)","V=lwh, SA=2(lw+lh+wh). Computes volume and surface area.","V = lwh","Area & Volume Shapes","Calculator","[{""id"":""l"",""label"":""Length"",""unit"":""m""},{""id"":""w"",""label"":""Width"",""unit"":""m""},{""id"":""h"",""label"":""Height"",""unit"":""m""}]",3
"pyramid","Pyramid Volume","V=⅓Bh. Computes pyramid volume from base area and height.","V = ⅓Bh","Area & Volume Shapes","Calculator","[{""id"":""V"",""label"":""Volume"",""unit"":""m³""},{""id"":""B"",""label"":""Base Area"",""unit"":""m²""},{""id"":""h"",""label"":""Height"",""unit"":""m""}]",3
"hemisphere","Hemisphere Volume & Surface","V=⅔πr³, A=3πr². Computes hemisphere volume and surface area.","V = ⅔πr³","Area & Volume Shapes","Calculator","[{""id"":""r"",""label"":""Radius"",""unit"":""m""}]",1
"ellipse","Ellipse Area","A=πab. Solves for area, semi-major, or semi-minor axis.","A = πab","Area & Volume Shapes","Calculator","[{""id"":""A"",""label"":""Area"",""unit"":""m²""},{""id"":""a"",""label"":""Semi-major (a)"",""unit"":""m""},{""id"":""b"",""label"":""Semi-minor (b)"",""unit"":""m""}]",3
"parallelogram","Parallelogram Area","A=bh. Solves for area, base, or height.","A = bh","Area & Volume Shapes","Calculator","[{""id"":""A"",""label"":""Area"",""unit"":""m²""},{""id"":""b"",""label"":""Base"",""unit"":""m""},{""id"":""h"",""label"":""Height"",""unit"":""m""}]",3
"wave-string","Wave on a String","v=√(T/μ). Solves for wave speed, tension, or linear mass density.","v = √(T/μ)","Final Physics Essentials","Cog","[{""id"":""v"",""label"":""Wave Speed"",""unit"":""m/s""},{""id"":""T"",""label"":""Tension"",""unit"":""N""},{""id"":""mu"",""label"":""Linear Density (μ)"",""unit"":""kg/m""}]",3
"refraction-index","Index of Refraction","n=c/v. Solves for refractive index, speed of light in medium.","n = c/v","Final Physics Essentials","Cog","[{""id"":""n"",""label"":""Refractive Index (n)"",""unit"":""""},{""id"":""v"",""label"":""Speed in Medium"",""unit"":""m/s""}]",2
"magnification","Optical Magnification","m=-di/do. Computes magnification, image height, and orientation.","m = -dᵢ/dₒ = hᵢ/hₒ","Final Physics Essentials","Cog","[{""id"":""di"",""label"":""Image Distance (dᵢ)"",""unit"":""m""},{""id"":""do"",""label"":""Object Distance (dₒ)"",""unit"":""m""},{""id"":""ho"",""label"":""Object Height (hₒ)"",""unit"":""m""}]",3
"isobaric-work","Isobaric Work (Gas)","W=PΔV. Solves for work done by gas, pressure, or volume change.","W = PΔV","Final Physics Essentials","Cog","[{""id"":""W"",""label"":""Work"",""unit"":""J""},{""id"":""P"",""label"":""Pressure"",""unit"":""Pa""},{""id"":""dV"",""label"":""Volume Change (ΔV)"",""unit"":""m³""}]",3
"parallel-axis","Parallel Axis Theorem","I=Icm+md². Solves for moment of inertia about any parallel axis.","I = I_cm + md²","Final Physics Essentials","Cog","[{""id"":""I"",""label"":""Moment of Inertia (I)"",""unit"":""kg·m²""},{""id"":""Icm"",""label"":""I at Center of Mass"",""unit"":""kg·m²""},{""id"":""m"",""label"":""Mass"",""unit"":""kg""},{""id"":""d"",""label"":""Distance to Parallel Axis"",""unit"":""m""}]",4
"rydberg","Rydberg Equation (Hydrogen)","1/λ=R(1/n₁²−1/n₂²). Computes wavelength of hydrogen emission lines.","1/λ = R(1/n₁² − 1/n₂²)","Final Physics Essentials","Cog","[{""id"":""n1"",""label"":""Lower Level (n₁)"",""unit"":""""},{""id"":""n2"",""label"":""Upper Level (n₂)"",""unit"":""""}]",2
"bohr-energy","Bohr Model Energy Levels","En=-13.6/n² eV. Computes energy for any hydrogen energy level.","E_n = -13.6/n² eV","Final Physics Essentials","Cog","[{""id"":""n"",""label"":""Energy Level (n)"",""unit"":""""}]",1
"bragg-law","Bragg's Law (X-ray Diffraction)","nλ=2d·sinθ. Solves for wavelength, spacing, angle, or order.","nλ = 2d sin(θ)","Final Physics Essentials","Cog","[{""id"":""n"",""label"":""Order (n)"",""unit"":""""},{""id"":""lambda"",""label"":""Wavelength (λ)"",""unit"":""nm""},{""id"":""d"",""label"":""Crystal Spacing (d)"",""unit"":""nm""},{""id"":""theta"",""label"":""Angle (θ)"",""unit"":""°""}]",4
"bmr","Basal Metabolic Rate (BMR)","Harris-Benedict equation. Estimates daily calorie needs.","Men: 88.36 + 13.4w + 4.8h − 5.7a","Health & Physiology","Calculator","[{""id"":""gender"",""label"":""0=Male, 1=Female"",""unit"":""""},{""id"":""weight"",""label"":""Weight (kg)"",""unit"":""kg""},{""id"":""height"",""label"":""Height (cm)"",""unit"":""cm""},{""id"":""age"",""label"":""Age (years)"",""unit"":""years""}]",4
"renal-clearance","Renal Clearance Rate","C=U×V/P. Computes renal clearance from urine and plasma concentrations.","C = (U × V) / P","Health & Physiology","Calculator","[{""id"":""C"",""label"":""Clearance Rate"",""unit"":""mL/min""},{""id"":""U"",""label"":""Urine Concentration"",""unit"":""mg/mL""},{""id"":""V"",""label"":""Urine Flow Rate"",""unit"":""mL/min""},{""id"":""P"",""label"":""Plasma Concentration"",""unit"":""mg/mL""}]",4
"alveolar-gas","Alveolar Gas Equation","PAO₂=FiO₂(Patm−PH₂O)−PaCO₂/RQ. Solves for PAO₂, FiO₂, PaCO₂, or RQ.","PAO₂ = FiO₂(Patm−47) − PaCO₂/RQ","Health & Physiology","Calculator","[{""id"":""PAO2"",""label"":""PAO₂ (mmHg)"",""unit"":""mmHg""},{""id"":""FiO2"",""label"":""FiO₂ (fraction, e.g. 0.21)"",""unit"":""""},{""id"":""PaCO2"",""label"":""PaCO₂ (mmHg)"",""unit"":""mmHg""},{""id"":""RQ"",""label"":""Respiratory Quotient"",""unit"":""""}]",4
"simpson-diversity","Simpson's Diversity Index","D=1−Σ(n(n−1))/(N(N−1)). Computes Simpson's index from species counts.","D = 1 − Σnᵢ(nᵢ−1) / N(N−1)","Health & Physiology","Calculator","[{""id"":""data"",""label"":""Species counts (comma-sep)"",""unit"":""""}]",1
"vector-cross","Vector Cross Product (3D)","A×B. Computes cross product and resulting magnitude.","A×B = (aybz−azby, azbx−axbz, axby−aybx)","Health & Physiology","Calculator","[{""id"":""ax"",""label"":""A x"",""unit"":""""},{""id"":""ay"",""label"":""A y"",""unit"":""""},{""id"":""az"",""label"":""A z"",""unit"":""""},{""id"":""bx"",""label"":""B x"",""unit"":""""},{""id"":""by"",""label"":""B y"",""unit"":""""},{""id"":""bz"",""label"":""B z"",""unit"":""""}]",6
"half-angle","Half Angle Formulas","sin(θ/2), cos(θ/2), tan(θ/2) from angle θ.","sin(θ/2) = ±√((1−cosθ)/2)","Health & Physiology","Calculator","[{""id"":""theta"",""label"":""Angle θ"",""unit"":""°""}]",1
"angle-between-vectors","Angle Between Two Vectors","θ=arccos(A·B/(|A||B|)). Computes angle from vector components.","θ = arccos(A·B / |A||B|)","Health & Physiology","Calculator","[{""id"":""ax"",""label"":""A x"",""unit"":""""},{""id"":""ay"",""label"":""A y"",""unit"":""""},{""id"":""bx"",""label"":""B x"",""unit"":""""},{""id"":""by"",""label"":""B y"",""unit"":""""}]",4
"temp-conversion","Temperature Conversion","Converts between Celsius, Fahrenheit, and Kelvin.","°F = °C×9/5+32, K = °C+273.15","Essential Conversions","Calculator","[{""id"":""C"",""label"":""Celsius (°C)"",""unit"":""°C""},{""id"":""F"",""label"":""Fahrenheit (°F)"",""unit"":""°F""},{""id"":""K"",""label"":""Kelvin (K)"",""unit"":""K""}]",3
"speed-distance-time","Speed / Distance / Time","v=d/t. Solves for speed, distance, or time.","v = d/t","Essential Conversions","Calculator","[{""id"":""v"",""label"":""Speed"",""unit"":""m/s""},{""id"":""d"",""label"":""Distance"",""unit"":""m""},{""id"":""t"",""label"":""Time"",""unit"":""s""}]",3
"photon-energy","Photon Energy","E=hf=hc/λ. Solves for photon energy, frequency, or wavelength.","E = hf = hc/λ","Essential Conversions","Calculator","[{""id"":""E"",""label"":""Energy"",""unit"":""eV""},{""id"":""f"",""label"":""Frequency"",""unit"":""Hz""},{""id"":""lambda"",""label"":""Wavelength"",""unit"":""nm""}]",3
"mass-defect","Mass Defect & Binding Energy","Δm=Zmp+Nmn−M. Computes mass defect and nuclear binding energy.","Δm = Zmp + Nmn − M","Essential Conversions","Calculator","[{""id"":""Z"",""label"":""Protons (Z)"",""unit"":""""},{""id"":""N"",""label"":""Neutrons (N)"",""unit"":""""},{""id"":""M"",""label"":""Actual Mass (u)"",""unit"":""u""}]",3
"shannon-capacity","Shannon-Hartley Capacity","Maximum data rate of a noisy channel given bandwidth and signal-to-noise ratio.","C = B × log₂(1 + S/N)","Computer Science & Information Theory","","[{""id"":""C"",""label"":""Channel Capacity (C)"",""unit"":""bps""},{""id"":""B"",""label"":""Bandwidth (B)"",""unit"":""Hz""},{""id"":""S"",""label"":""Signal Power (S)"",""unit"":""W""},{""id"":""N"",""label"":""Noise Power (N)"",""unit"":""W""}]",4
"amdahls-law","Amdahl's Law (Speedup)","Maximum theoretical speedup of a program using parallel processors, limited by serial fraction.","S = 1 / ((1-p) + p/N)","Computer Science & Information Theory","","[{""id"":""S"",""label"":""Speedup (S)"",""unit"":""""},{""id"":""p"",""label"":""Parallel Proportion (p)"",""unit"":""""},{""id"":""N"",""label"":""Number of Processors (N)"",""unit"":""""}]",3
